WorkerId,SubmitTime,Answer 56,animacy,number,definiteness,tense,subject,sentence,response,rt,question_number,type,aspect,modal,be_have,sentence_id,sentence_length,original_response
VQ6ML1ZUKB3B2DEFPZCM9G46QWHGBX,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,singular,indefinite,past,toilet,A toilet stood in the middle of the bathroom.,2,1909,53,target,simple,no,no,1951,7,non.generic
0XUOETBBZGO14QBVBIK4DB494K77XM,Wed Jan 20 13:34:34 PST 2016,"""English""",animate,singular,definite,past,butterfly,The butterfly spread its wings.,2,1321,54,target,simple,no,no,2705,3,non.generic
DVYNN5PPREVR25A0LGI7TG2A0NYBEO,Wed Jan 20 13:34:34 PST 2016,"""English""",animate,singular,definite,present,penguin,The penguin looks like it is wearing a tuxedo at all times,2,2634,50,target,simple,no,no,4099,10,generic
G1UKR39B0IFC4CRIQQF40CGFUBA485,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,singular,indefinite,present,bicycle,A bicycle is for sale at the yard sale down the road. ,2,1232,33,target,simple,no,yes,1267,10,non.generic
84SD9MQK2PHHFZP0OXFECMR1YL37FX,Wed Jan 20 13:34:34 PST 2016,"""English""",animate,plural,definite,past,fox,The foxes chased each other.,1,2070,39,target,simple,no,no,3392,3,non.generic
1G81UM0P9F3OCGSA0S10G9OMILET42,Wed Jan 20 13:34:34 PST 2016,"""English""",animate,singular,indefinite,present,shark,A shark can be deadly.,2,3369,55,target,simple,yes,no,808,3,generic
9CK3H6ZM2NPORFV5BDUQ2XE1HK2HHS,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,plural,definite,past,knife,The knives were sharp,2,1747,29,target,simple,no,yes,2755,2,generic
QTAEN7NAB0GM78UIL6YHBDFGAPIH86,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,singular,definite,past,bicycle,The bicycle had a rusty chain and a flat tire.,2,1852,28,target,simple,no,yes,1957,8,non.generic
MFV0DNB02339UCP8RRGK4F91CGBWG0,Wed Jan 20 13:34:34 PST 2016,"""English""",animate,singular,indefinite,past,skunk,A skunk was out in the woods.,2,1212,25,target,simple,no,yes,1487,5,non.generic
7TXSPXDZGFW89V9X0ZNNET4KQJ7E5M,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,plural,indefinite,past,boat,Boats were anchored in the harbor.,1,2435,24,target,simple,no,no,155,5,non.generic
PZ9Q8V2UPTUWJC9R0HXD8OGUBJM32K,Wed Jan 20 13:34:34 PST 2016,"""English""",animate,plural,indefinite,present,dog,Dogs are man's best friends.,1,2106,27,target,simple,no,yes,836,4,generic
N0KII9TXNNGG41Z7OA0LY6K0NLFBM9,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,singular,indefinite,present,bicycle,A bicycle is a convenient form of transportation.,2,1201,26,target,simple,no,yes,229,6,generic
8TBDUZDPGEYJK0X1DZM4ST0NG68OS1,Wed Jan 20 13:34:34 PST 2016,"""English""",inanimate,singular,indefinite,past,marble,A marble rolled under the sofa. ,2,1267,21,target,simple,no,no,4269,4,non.generic
